type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-CN,1H,JP-CN_1H,econ-mbeacxc.el,16,493,41686,0.0003,1,0,0.00377282,0.000190179,0.003963,0.00752258,0.639839,0.647362,0
RRR,JP-CN,BF,JP-CN-BF,C500-9.el,16,501,112332,0.3,1,140,0.00890079,0.00659028,0.0154911,0.0176783,1.71787,1.73555,112332
RRR,JP-CN,1H,JP-CN_1H,ia-retweet-pol.el,16,18470,48053,0.001,1,0,0.0100169,0.00028931,0.0103063,0.28183,0.874146,1.15598,0
RRR,JP-CN,1H,JP-CN_1H,CO.el,16,221120,782144,2,72,0,0.313581,0.0605295,0.37411,64.1064,13.6216,77.728,782054
RRR,JP-CN,BF,JP-CN-BF,p-hat1500-3.el,16,1501,847244,0.03,1,39,0.0657504,0.0204746,0.086225,0.0343552,12.9394,12.9737,0
RRR,JP-CN,1H,JP-CN_1H,econ-orani678.el,16,2530,86768,3e-05,1,0,0.00904812,0.00023277,0.00928089,0.0386047,1.34328,1.38188,0
RRR,JP-CN,1H,JP-CN_1H,bio-DM-CX.el,16,4040,76717,0.003,1,0,0.00956113,0.000532686,0.0100938,0.0770569,1.20143,1.27849,14328
RRR,JP-CN,1H,JP-CN_1H,ia-wikiquote-user-edits.el,16,94757,238421,0.0001,1,0,0.050646,0.001399,0.052045,1.80735,4.36095,6.1683,2134
RRR,JP-CN,BF,JP-CN-BF,ia-enron-email-dynamic.el,16,87274,297456,0.001,1,32,0.0614653,0.0061647,0.06763,1.99754,5.20467,7.20221,54426
RRR,JP-CN,1H,JP-CN_1H,C2000-5.el,16,2001,999836,0.003,3,0,0.0845168,0.00579487,0.0903117,0.0534325,15.2716,15.325,800660
RRR,JP-CN,BF,JP-CN-BF,movielens-10m-noRatings.el,16,28139,170398,0.5,1,1779,0.0310452,0.0104032,0.0414484,6.49418,2.81475,9.30893,88315
RRR,JP-CN,BF,JP-CN-BF,insecta-ant-colony6-day02.el,16,165,10272,0.001,1,32,0.00101333,0.00107458,0.00208791,0.00377655,0.157997,0.161774,39
RRR,JP-CN,1H,JP-CN_1H,econ-psmigr2.el,16,3141,410781,0.3,823,0,0.149884,0.263543,0.413427,9.90908,6.29198,16.2011,410775
RRR,JP-CN,BF,JP-CN-BF,ted_AB.el,16,10606,347610,0.003,1,32,0.0316791,0.00702276,0.0387018,0.242752,5.38503,5.62778,155625
RRR,JP-CN,1H,JP-CN_1H,insecta-ant-colony6-day02.el,16,165,10272,0.01,1,0,0.00146538,0.000106207,0.00157159,0.00314713,0.157997,0.161144,8120
RRR,JP-CN,BF,JP-CN-BF,appu.el,16,14001,919552,2,1,586,0.0773067,0.0271902,0.104497,1.24177,14.1381,15.3798,802894
RRR,JP-CN,1H,JP-CN_1H,email-dnc.el,16,1,0,0.001,1,0,2.3395e-05,6.501e-06,2.9896e-05,1.52588e-05,7.62939e-06,2.28882e-05,0
RRR,JP-CN,1H,JP-CN_1H,ia-wikiquote-user-edits.el,16,94757,238421,0.5,8356,0,0.494673,0.168909,0.663582,3021.88,4.36095,3026.24,126672
RRR,JP-CN,1H,JP-CN_1H,ca-AstroPh.el,16,17904,196972,0.001,1,0,0.0262477,0.000476625,0.0267243,0.273193,3.14215,3.41534,0
RRR,JP-CN,1H,JP-CN_1H,C500-9.el,16,501,112332,0.0003,1,0,0.00964461,0.000244303,0.00988891,0.00764465,1.71787,1.72552,0
RRR,JP-CN,1H,JP-CN_1H,bio-grid-yeast.el,16,6008,156945,0.003,7,0,0.0189367,0.00221758,0.0211542,0.252106,2.44063,2.69273,55179
