type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,4C,1H,4C_1H,bio-CE-CX.el,16,15229,245952,0.001,1,0,0.0325803,0.0461623,0.0787427,0.48364,3.86912,4.35276,0
RRR,4C,1H,4C_1H,bio-HS-LC.el,16,4227,39484,0.03,11,0,0.00780161,2.02823,2.03603,0.0793409,0.634727,0.714068,533223
RRR,4C,1H,4C_1H,econ-mbeacxc.el,16,493,41686,1,485,0,0.0158396,127.053,127.069,0.0799799,0.639839,0.719819,50157353
RRR,4C,BF,4C_BF,C500-9.el,16,501,112332,0.3,1,140,0.00464215,187.951,187.955,0.107128,1.71787,1.825,1326695651
RRR,4C,1H,4C_1H,econ-psmigr1.el,16,3141,410781,0.0003,1,0,0.0394476,0.439646,0.479093,0.786498,6.29198,7.07848,0
RRR,4C,BF,4C_BF,fb-messages.el,16,1900,13838,0.001,1,32,0.00204719,0.00352154,0.00556873,0.0131969,0.225647,0.238844,2269
RRR,4C,1H,4C_1H,fb-messages.el,16,1900,13838,0.0001,1,0,0.00330462,0.00385111,0.00715573,0.0282059,0.225647,0.253853,0
RRR,4C,1H,4C_1H,ia-retweet-pol.el,16,18470,48053,0.01,7,0,0.0164876,0.0052165,0.0217041,0.109268,0.874146,0.983414,0
RRR,4C,BF,4C_BF,ia-retweet-pol.el,16,18470,48053,0.003,1,32,0.0101879,0.00759419,0.0177821,0.0458269,0.874146,0.919972,7738
RRR,4C,BF,4C_BF,fb-messages.el,16,1900,13838,3e-05,1,32,0.00144099,0.00298517,0.00442615,0.0131969,0.225647,0.238844,1967
RRR,4C,1H,4C_1H,bio-grid-yeast.el,16,6008,156945,0.5,1278,0,0.0794373,39.3465,39.4259,0.305079,2.44063,2.74571,2513545
RRR,4C,BF,4C_BF,insecta-ant-colony5-day01.el,16,153,9053,0.0001,1,32,0.000549559,1.51402,1.51457,0.00863361,0.139305,0.147939,5209672
RRR,4C,1H,4C_1H,bio-CE-GN.el,16,2220,53683,2,484,0,0.0222414,1.38612,1.40836,0.104509,0.836075,0.940584,295089
RRR,4C,1H,4C_1H,econ-mbeacxc.el,16,493,41686,0.0003,1,0,0.00505614,0.00997421,0.0150304,0.0799799,0.639839,0.719819,0
RRR,4C,BF,4C_BF,bio-WormNet-v3.el,16,16347,762822,0.3,1,381,0.0380159,28.5292,28.5673,0.727484,11.7645,12.4919,254860354
RRR,4C,1H,4C_1H,bio-DR-CX.el,16,3289,84940,0.3,149,0,0.028453,56.3361,56.3646,0.165147,1.32117,1.48632,14919885
RRR,4C,1H,4C_1H,bio-SC-HT.el,16,2084,63027,0.5,236,0,0.0229011,110.001,110.023,0.122202,0.977615,1.09982,26279752
RRR,4C,1H,4C_1H,insecta-ant-colony5-day01.el,16,153,9053,0.0003,1,0,0.00140294,0.00656689,0.00796983,0.0174131,0.139305,0.156718,0
RRR,4C,BF,4C_BF,econ-beacxc.el,16,498,42175,0.0001,1,32,0.00192462,3.15609,3.15802,0.0402212,0.647339,0.68756,40756036
RRR,4C,BF,4C_BF,bio-SC-GT.el,16,1716,33987,2,1,1098,0.00232827,0.858354,0.860682,0.0324125,0.531693,0.564105,2213588
RRR,4C,1H,4C_1H,C500-9.el,16,501,112332,0.01,4,0,0.0110792,613.544,613.555,0.214734,1.71787,1.93261,251909546
RRR,4C,BF,4C_BF,bio-SC-GT.el,16,1716,33987,0.3,1,164,0.00211116,0.720063,0.722174,0.0324125,0.531693,0.564105,2444974
RRR,4C,BASE,4C_BASE,bio-DR-CX.el,16,3289,84940,0,0,0,0,72.0057,72.0057,0,1.32117,1.32117,14984347
RRR,4C,BASE,4C_BASE,bio-HS-LC.el,16,4227,39484,0,0,0,0,9.90789,9.90789,0,0.634727,0.634727,2616136
RRR,4C,BF,4C_BF,ca-AstroPh.el,16,17904,196972,0.001,1,32,0.0163651,0.342523,0.358888,0.187847,3.14215,3.33,6601724
RRR,4C,1H,4C_1H,bio-SC-GT.el,16,1716,33987,0.1,54,0,0.00889685,10.2367,10.2456,0.0664616,0.531693,0.598154,3232097
