type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,1H,JP-OV_1H,ia-wikiquote-user-edits.el,16,94757,238421,0.01,167,0,-1,0.00565143,-0.994349,61.8112,4.36095,66.1722,0
RRR,JP-OV,BF,JP-OV_BF,econ-psmigr2.el,16,3141,410781,0.03,1,82,0.0330782,0.00929393,0.0423721,0.0898647,6.29198,6.38185,32693
RRR,JP-OV,1H,JP-OV_1H,bio-DR-CX.el,16,3289,84940,0.03,14,0,0.012738,0.00167544,0.0144134,0.225838,1.32117,1.54701,31670
RRR,JP-OV,1H,JP-OV_1H,bio-HS-CX.el,16,4413,108818,0.03,14,0,0.016191,0.00168795,0.017879,0.303017,1.6941,1.99712,45574
RRR,JP-OV,BF,JP-OV_BF,econ-psmigr1.el,16,3141,410781,0.5,1,1372,0.0329609,0.0196801,0.0526411,0.572139,6.29198,6.86412,288705
RRR,JP-OV,1H,JP-OV_1H,socfb-UF.el,16,35112,1465654,1,8246,0,-1,0.304549,-0.695451,1105.02,22.632,1127.65,0
RRR,JP-OV,1H,JP-OV_1H,trdheim.el,16,22099,956613,0.5,74,0,-1,0.0237748,-0.976225,6.57548,14.7654,21.3408,0
RRR,JP-OV,1H,JP-OV_1H,jester2.el,16,50693,1727574,0.003,152,0,-1,0.0268666,-0.973133,30.167,26.7474,56.9145,0
RRR,JP-OV,BF,JP-OV_BF,econ-orani678.el,16,2530,86768,2,1,3088,0.00866968,0.0196451,0.0283148,0.979595,1.34328,2.32287,43395
RRR,JP-OV,BF,JP-OV_BF,insecta-ant-colony2-day16.el,16,132,4041,0.03,1,32,0.000413419,0.000999939,0.00141336,0.00302124,0.0626678,0.0656891,3848
RRR,JP-OV,BF,JP-OV_BF,jester2.el,16,50693,1727574,0.003,1,152,0.155617,0.0337755,0.189393,1.88544,26.7474,28.6329,2048
RRR,JP-OV,BF,JP-OV_BF,appu.el,16,14001,919552,3e-05,1,32,0.0772128,0.0152355,0.0924483,0.320457,14.1381,14.4585,15931
RRR,JP-OV,BF,JP-OV_BF,bio-DM-CX.el,16,4040,76717,0.0001,1,32,0.00762832,0.00206517,0.00969349,0.0924683,1.20143,1.2939,13551
RRR,JP-OV,1H,JP-OV_1H,C2000-5.el,16,2001,999836,0.01,10,0,-1,0.0144321,-0.985568,0.106865,15.2716,15.3784,0
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony5-day01.el,16,153,9053,0.03,4,0,-1,0.000298772,-0.999701,0.00466919,0.139305,0.143974,0
RRR,JP-OV,1H,JP-OV_1H,CO.el,16,221120,782144,0.5,18,0,-1,0.0147383,-0.985262,18.5571,13.6216,32.1787,0
RRR,JP-OV,1H,JP-OV_1H,econ-mbeacxc.el,16,493,41686,0.5,242,0,0.0133269,0.0301635,0.0434904,0.462639,0.639839,1.10248,41674
RRR,JP-OV,1H,JP-OV_1H,C2000-5.el,16,2001,999836,0.3,322,0,-1,0.428617,-0.571383,2.48843,15.2716,17.76,0
RRR,JP-OV,1H,JP-OV_1H,econ-psmigr2.el,16,3141,410781,0.3,823,0,-1,0.166902,-0.833098,9.90908,6.29198,16.2011,0
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony3-day01.el,16,161,11139,0.003,1,0,-1,3.5687e-05,-0.999964,0.00245667,0.171196,0.173653,0
RRR,JP-OV,BASE,JP-OV_BASE,fb-wosn-friends.el,16,63732,817090,0,0,0,0,0.0542856,0.0542856,0,12.954,12.954,97637
RRR,JP-OV,1H,JP-OV_1H,fb-messages.el,16,1900,13838,0.0001,1,0,-1,0.000109457,-0.999891,0.0289917,0.225647,0.254639,0
RRR,JP-OV,1H,JP-OV_1H,web-NotreDame.el,16,325730,1090108,0.1,1072,0,-1,0.0433601,-0.95664,1337,19.1189,1356.11,0
RRR,JP-OV,1H,JP-OV_1H,CO.el,16,221120,782144,0.01,1,0,-1,0.00168562,-0.998314,3.37402,13.6216,16.9956,0
RRR,JP-OV,1H,JP-OV_1H,web-NotreDame.el,16,325730,1090108,2,21442,0,-1,0.0763187,-0.923681,26648,19.1189,26667.1,0
RRR,JP-OV,1H,JP-OV_1H,econ-psmigr2.el,16,3141,410781,0.1,274,0,0.110244,0.110772,0.221015,3.33099,6.29198,9.62297,385746
RRR,JP-OV,1H,JP-OV_1H,bio-SC-GT.el,16,1716,33987,0.0001,1,0,-1,0.000143211,-0.999857,0.0261841,0.531693,0.557877,0
RRR,JP-OV,BF,JP-OV_BF,bio-CE-PG.el,16,1871,47754,0.3,1,273,0.00453033,0.00231987,0.0068502,0.0963535,0.742943,0.839296,26382
RRR,JP-OV,1H,JP-OV_1H,bio-HS-CX.el,16,4413,108818,0.003,1,0,0.0118517,0.0004366,0.0122883,0.0841713,1.6941,1.77827,16875
RRR,JP-OV,BF,JP-OV_BF,CO.el,16,221120,782144,0.03,1,32,0.155493,0.0154646,0.170958,5.06104,13.6216,18.6826,97526
RRR,JP-OV,BF,JP-OV_BF,bio-CE-GN.el,16,2220,53683,0.003,1,32,0.00559326,0.0014546,0.00704786,0.0508118,0.836075,0.886887,7565
RRR,JP-OV,BF,JP-OV_BF,nasasrb.el,16,54871,1311227,3e-05,1,32,0.126073,0.0229203,0.148993,1.2559,20.4264,21.6823,687894
RRR,JP-OV,1H,JP-OV_1H,fb-messages.el,16,1900,13838,0.1,25,0,-1,0.000644033,-0.999356,0.21019,0.225647,0.435837,0
RRR,JP-OV,1H,JP-OV_1H,gupta3.el,16,16784,4653322,0.0003,4,0,-1,0.0183057,-0.981694,0.512207,71.1321,71.6443,0
RRR,JP-OV,1H,JP-OV_1H,trdheim.el,16,22099,956613,0.03,4,0,-1,0.0027439,-0.997256,0.674408,14.7654,15.4398,0
RRR,JP-OV,1H,JP-OV_1H,fb-wosn-friends.el,16,63732,817090,0.0003,1,0,-1,0.00132162,-0.998678,0.972473,12.954,13.9265,0
RRR,JP-OV,1H,JP-OV_1H,movielens-10m-noRatings.el,16,28139,170398,0.0001,1,0,-1,0.000386869,-0.999613,0.429367,2.81475,3.24412,0
RRR,JP-OV,1H,JP-OV_1H,vanbody.el,16,47073,1144913,0.0003,1,0,-1,0.00118953,-0.99881,0.718277,17.8291,18.5474,0
RRR,JP-OV,BF,JP-OV_BF,insecta-ant-colony3-day01.el,16,161,11139,0.1,1,32,0.000989114,0.00133599,0.0023251,0.003685,0.171196,0.174881,11139
RRR,JP-OV,BF,JP-OV_BF,CO.el,16,221120,782144,0.5,1,32,0.131241,0.0140699,0.145311,5.06104,13.6216,18.6826,101164
RRR,JP-OV,1H,JP-OV_1H,fb-wosn-friends.el,16,63732,817090,0.1,109,0,-1,0.0448939,-0.955106,27.4724,12.954,40.4264,0
RRR,JP-OV,1H,JP-OV_1H,rim.el,16,22561,677576,1,111,0,-1,0.0247762,-0.975224,9.89729,10.5111,20.4084,0
RRR,JP-OV,1H,JP-OV_1H,socfb-UF.el,16,35112,1465654,0.001,8,0,-1,0.0191485,-0.980851,1.6073,22.632,24.2393,0
RRR,JP-OV,BF,JP-OV_BF,ia-wikiquote-user-edits.el,16,94757,238421,0.0001,1,32,0.0594601,0.00477567,0.0642358,2.16882,4.36095,6.52977,13099
RRR,JP-OV,1H,JP-OV_1H,appu.el,16,14001,919552,1,293,0,-1,0.132406,-0.867594,15.8626,14.1381,30.0007,0
RRR,JP-OV,1H,JP-OV_1H,trdheim.el,16,22099,956613,0.3,44,0,-1,0.015164,-0.984836,4.04645,14.7654,18.8118,0
RRR,JP-OV,1H,JP-OV_1H,C500-9.el,16,501,112332,0.5,234,0,-1,0.0510153,-0.948985,0.454857,1.71787,2.17273,0
RRR,JP-OV,BF,JP-OV_BF,ia-enron-email-dynamic.el,16,87274,297456,0.5,1,863,0.0690568,0.0100661,0.0791229,10.5703,5.20467,15.775,73463
RRR,JP-OV,1H,JP-OV_1H,econ-beacxc.el,16,498,42175,0.0001,1,0,-1,0.000238573,-0.999761,0.00759888,0.647339,0.654938,0
RRR,JP-OV,BF,JP-OV_BF,SiO.el,16,33402,642127,3e-05,1,32,0.0650963,0.0108383,0.0759346,0.764511,10.0529,10.8174,65103
RRR,JP-OV,1H,JP-OV_1H,viscorocks.el,16,37763,562241,0.1,4,0,-1,0.00236662,-0.997633,1.15244,8.86723,10.0197,0
