type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-JC,1H,JP-JC_1H,insecta-ant-colony2-day16.el,16,132,4041,0.03,3,0,0.000481074,0.000277103,0.000758177,0.00352478,0.0626678,0.0661926,3458
RRR,JP-JC,BF,JP-JC_BF,C2000-5.el,16,2001,999836,0.0001,1,32,0.0807845,0.0443284,0.125113,0.0457993,15.2716,15.3174,0
RRR,JP-JC,1H,JP-JC_1H,SiO.el,16,33402,642127,0.3,174,0,0.192409,0.0381606,0.23057,22.6805,10.0529,32.7334,122616
RRR,JP-JC,BF,JP-JC_BF,bio-CE-PG.el,16,1871,47754,0.001,1,32,0.00501774,0.00271463,0.00773237,0.0428238,0.742943,0.785767,3051
RRR,JP-JC,BF,JP-JC_BF,insecta-ant-colony5-day01.el,16,153,9053,0.0003,1,32,0.000836815,0.00188302,0.00271984,0.00350189,0.139305,0.142807,4791
RRR,JP-JC,1H,JP-JC_1H,C500-9.el,16,501,112332,0.1,46,0,0.0132081,0.0242969,0.0375051,0.0955582,1.71787,1.81343,112332
RRR,JP-JC,BF,JP-JC_BF,insecta-ant-colony2-day16.el,16,132,4041,3e-05,1,32,0.000526991,0.00173383,0.00226082,0.00302124,0.0626678,0.0656891,303
RRR,JP-JC,1H,JP-JC_1H,gupta3.el,16,16784,4653322,0.003,44,0,0.488833,0.171403,0.660236,3.07324,71.1321,74.2054,197943
RRR,JP-JC,1H,JP-JC_1H,econ-beacxc.el,16,498,42175,0.001,1,0,0.00383508,0.00037469,0.00420977,0.00759888,0.647339,0.654938,0
RRR,JP-JC,BF,JP-JC_BF,trdheim.el,16,22099,956613,1,1,149,0.0844716,0.0293474,0.113819,0.800859,14.7654,15.5662,357882
RRR,JP-JC,1H,JP-JC_1H,bio-SC-GT.el,16,1716,33987,0.01,5,0,0.00501631,0.0005222,0.00553851,0.0589142,0.531693,0.590607,7794
RRR,JP-JC,1H,JP-JC_1H,rim.el,16,22561,677576,3e-05,1,0,0.0678824,0.000982883,0.0688653,0.344254,10.5111,10.8554,0
RRR,JP-JC,BF,JP-JC_BF,rim.el,16,22561,677576,2,1,222,0.0633902,0.029479,0.0928692,1.01124,10.5111,11.5224,197159
RRR,JP-JC,1H,JP-JC_1H,fb-wosn-friends.el,16,63732,817090,0.0003,1,0,0.100341,0.00242325,0.102764,0.972473,12.954,13.9265,0
RRR,JP-JC,1H,JP-JC_1H,bn-mouse_brain_1.el,16,213,16089,1,205,0,0.00556987,0.0218725,0.0274423,0.169819,0.247124,0.416943,16074
RRR,JP-JC,BF,JP-JC_BF,gupta3.el,16,16784,4653322,0.003,1,44,0.38349,0.18678,0.57027,0.400162,71.1321,71.5323,19626
RRR,JP-JC,BF,JP-JC_BF,p-hat1500-3.el,16,1501,847244,0.001,1,32,0.0681031,0.0316296,0.0997327,0.0343552,12.9394,12.9737,0
RRR,JP-JC,1H,JP-JC_1H,bio-WormNet-v3.el,16,16347,762822,2,2544,0,0.346286,0.362948,0.709234,158.89,11.7645,170.655,81092
RRR,JP-JC,1H,JP-JC_1H,hamming10-4.el,16,1025,434176,3e-05,1,0,0.0360787,0.00165335,0.0377321,0.0156403,6.63282,6.64846,0
RRR,JP-JC,1H,JP-JC_1H,trdheim.el,16,22099,956613,0.01,1,0,0.0928375,0.00364393,0.0964814,0.421505,14.7654,15.1869,465981
RRR,JP-JC,1H,JP-JC_1H,C500-9.el,16,501,112332,0.01,4,0,0.00984351,0.00240838,0.0122519,0.0152893,1.71787,1.73316,103629
RRR,JP-JC,BF,JP-JC_BF,nasasrb.el,16,54871,1311227,0.001,1,32,0.127524,0.0389102,0.166434,1.2559,20.4264,21.6823,400347
RRR,JP-JC,BF,JP-JC_BF,C500-9.el,16,501,112332,0.1,1,46,0.0091199,0.0084495,0.0175694,0.0119448,1.71787,1.72982,0
RRR,JP-JC,1H,JP-JC_1H,bmw7st_1.el,16,141348,492578,0.0003,1,0,0.0760614,0.00121864,0.0772801,2.1568,8.59454,10.7513,0
