type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,4C,1H,4C_1H,kronecker,16,1024,128741,1,999,0,0.0523461,2111.79,2111.84,0.246531,1.97224,2.21877,580501936
RRR,4C,BF,4C_BF,kronecker,16,1024,94066,0.0001,1,32,0.00464508,22.3178,22.3225,0.0897083,1.44315,1.53285,182859757
RRR,4C,1H,4C_1H,kronecker,16,1024,65895,0.3,273,0,0.0212947,248.647,248.669,0.126661,1.01329,1.13995,88067330
RRR,4C,BF,4C_BF,kronecker,16,1024,94066,0.0003,1,32,0.00421554,20.2485,20.2527,0.0897083,1.44315,1.53285,181487895
RRR,4C,BF,4C_BF,kronecker,16,1024,94066,1,1,963,0.00426939,31.1154,31.1196,0.0897083,1.44315,1.53285,216967369
RRR,4C,1H,4C_1H,kronecker,16,1024,94066,1,963,0,0.0380911,860.612,860.65,0.180393,1.44315,1.62354,239066901
RRR,4C,BF,4C_BF,kronecker,16,4096,145345,0.003,1,32,0.00802172,10.4839,10.4919,0.138612,2.24904,2.38765,71148545
RRR,4C,BF,4C_BF,kronecker,16,4096,380445,0.001,1,32,0.016792,116.198,116.214,0.362821,5.83638,6.1992,831741673
RRR,4C,1H,4C_1H,kronecker,16,4096,239483,2,5476,0,0.110448,1685.69,1685.8,0.460684,3.68547,4.14615,427589141
RRR,4C,1H,4C_1H,kronecker,16,1024,44453,0.001,1,0,0.00544804,0.00827239,0.0137204,0.0857639,0.686111,0.771875,0
RRR,4C,1H,4C_1H,kronecker,16,1024,44453,0.03,25,0,0.00667579,72.3196,72.3263,0.0857639,0.686111,0.771875,22983353
RRR,4C,1H,4C_1H,kronecker,16,1024,94066,0.0001,1,0,0.00973722,0.0360169,0.0457542,0.180393,1.44315,1.62354,0
RRR,4C,1H,4C_1H,kronecker,16,4096,145345,0.0001,1,0,0.0163039,0.139413,0.155717,0.28113,2.24904,2.53017,0
RRR,4C,BASE,4C_BASE,kronecker,16,1024,94066,0,0,0,0,570.485,570.485,0,1.44315,1.44315,239089051
RRR,4C,BF,4C_BF,kronecker,16,4096,145345,0.0001,1,32,0.00769853,10.9973,11.005,0.138612,2.24904,2.38765,66899393
RRR,4C,BF,4C_BF,kronecker,16,1024,65895,0.003,1,32,0.00351411,9.12125,9.12476,0.0628424,1.01329,1.07613,73161708
RRR,4C,BF,4C_BF,kronecker,16,4096,239483,3e-05,1,32,0.0118282,36.6885,36.7003,0.228389,3.68547,3.91386,248897374
RRR,4C,BF,4C_BF,kronecker,16,4096,239483,0.3,1,821,0.0115431,31.0032,31.0148,0.228389,3.68547,3.91386,395617365
RRR,4C,BF,4C_BF,kronecker,16,1024,44453,1,1,835,0.00227844,3.98701,3.98929,0.0423937,0.686111,0.728505,23627106
RRR,4C,BF,4C_BF,kronecker,16,1024,128741,3e-05,1,32,0.00565079,44.6881,44.6938,0.122777,1.97224,2.09502,400868033
RRR,4C,BASE,4C_BASE,kronecker,16,1024,44453,0,0,0,0,99.047,99.047,0,0.686111,0.686111,28541489
RRR,4C,BF,4C_BF,kronecker,16,4096,145345,0.5,1,1144,0.00800579,9.08031,9.08831,0.138612,2.24904,2.38765,90523433
RRR,4C,1H,4C_1H,kronecker,16,1024,28617,1,736,0,0.0129586,26.1557,26.1687,0.0555592,0.444473,0.500032,7944294
RRR,4C,BF,4C_BF,kronecker,16,4096,239483,2,1,5476,0.0138296,54.681,54.6948,0.228389,3.68547,3.91386,383526929
RRR,4C,BF,4C_BF,kronecker,16,4096,145345,0.01,1,32,0.00769697,10.977,10.9847,0.138612,2.24904,2.38765,72379645
RRR,4C,1H,4C_1H,kronecker,16,1024,44453,0.3,250,0,0.0154069,81.7564,81.7718,0.0857639,0.686111,0.771875,28527855
RRR,4C,1H,4C_1H,kronecker,16,4096,380445,0.5,1592,0,0.165621,6426.19,6426.36,0.729548,5.83638,6.56593,1560180433
