type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,108817111,0.1,1,21649,11.9587,44.6618,56.6205,2726,1668.42,4394.42,90787208
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,57896558,0.01,1,1512,5.37102,2.64794,8.01896,209,891.431,1100.43,20997891
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,3e-05,1,32,11.3642,1.81579,13.18,6,2079.61,2085.61,5378
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,262143,45089845,0,0,0,0,168.05,168.05,0,690.016,690.016,44231874
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,13605070,0.001,55,0,1.85465,0.703066,2.55772,58.9998,209.597,268.597,9788472
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,13605070,0.5,27845,0,7.35308,19.463,26.816,27848.9,209.597,28058.5,13099743
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,16515583,0.01,1,405,1.3902,0.282886,1.67309,4.375,252.508,256.883,1827277
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,25031930,0.1,7703,0,11.9991,40.9997,52.9988,7706.97,383.957,8090.93,24656395
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,4096,380445,0.01,31,0,0.045441,0.013699,0.05914,0.546875,5.83638,6.38326,353044
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,3118146,0.5,1,9945,0.346593,0.579592,0.926185,78.9375,48.0791,127.017,2786189
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,200996124,0.0001,1,32,16.8689,3.17767,20.0466,24,3074.96,3098.96,82943
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,65895,0.1,91,0,0.0139569,0.0104157,0.0243726,0.371094,1.01329,1.38438,65406
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,9735204,0.5,16714,0,4.074,15.1809,19.2549,4179.5,149.047,4328.55,9714048
