type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-CN,1H,JP-CN_1H,kronecker,1,1048575,4087377,0.001,23,0,0.937975,1.65658,2.59455,108,70.3684,178.368,815305
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,16,1048576,645584775,0,0,0,0,9849.92,9849.92,0,9858.84,9858.84,645354056
RRR,JP-CN,1H,JP-CN_1H,kronecker,4,1048576,57896558,0.001,151,0,9.68026,56.7562,66.4364,620,891.431,1511.43,46129334
RRR,JP-CN,1H,JP-CN_1H,kronecker,16,1048576,645584775,0.001,492,0,87.1225,534.776,621.899,1984,9858.84,11842.8,624379945
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,32,1048576,1893280332,0,0,0,0,28184,28184,0,28897.2,28897.2,1893235122
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,2,1048575,15699687,0,0,0,0,120.899,120.899,0,247.558,247.558,13694496
RRR,JP-CN,BF,JP-CN-BF,kronecker,8,1048576,200996124,0.1,1,29736,19.4363,211.118,230.555,3737,3074.96,6811.96,189477903
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,4,1048576,57896558,0,0,0,0,654.007,654.007,0,891.431,891.431,56287948
RRR,JP-CN,BF,JP-CN-BF,kronecker,2,1048575,15699687,0.1,1,6463,2.56904,18.0532,20.6223,826.999,247.558,1074.56,11564874
RRR,JP-CN,1H,JP-CN_1H,kronecker,32,1048576,1893280332,0.001,698,0,228.166,1155.95,1384.12,2808,28897.2,31705.2,1865069562
RRR,JP-CN,1H,JP-CN_1H,kronecker,2,1048575,15699687,0.001,64,0,2.93821,11.8347,14.7729,272,247.558,519.558,7753685
RRR,JP-CN,BF,JP-CN-BF,kronecker,1,1048575,4087377,0.1,1,2334,1.03797,3.81472,4.85269,311,70.3684,381.368,2075913
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,1,1048575,4087377,0,0,0,0,19.0244,19.0244,0,70.3684,70.3684,2572861
RRR,JP-CN,BF,JP-CN-BF,kronecker,32,1048576,1893280332,0.1,1,69813,153.445,1115.42,1268.87,8746,28897.2,37643.2,1856405925
RRR,JP-CN,BF,JP-CN-BF,kronecker,16,1048576,645584775,0.1,1,49292,56.0083,523.913,579.921,6181,9858.84,16039.8,634910683
RRR,JP-CN,1H,JP-CN_1H,kronecker,8,1048576,200996124,0.001,297,0,30.3087,209.607,239.915,1204,3074.96,4278.96,185209728
RRR,JP-CN,BF,JP-CN-BF,kronecker,4,1048576,57896558,0.1,1,15120,6.83927,65.85,72.6893,1910,891.431,2801.43,50779369
RRR,JP-CN,BASE,JP-CN_BASE,kronecker,8,1048576,200996124,0,0,0,0,2826.27,2826.27,0,3074.96,3074.96,200219988
