type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,32,1048576,1893280332,0,0,0,0,29331.9,29331.9,0,28897.2,28897.2,1890443682
RRR,JP-OV,BF,JP-OV_BF,kronecker,8,1048576,200996124,0.1,1,29736,19.501,212.349,231.85,3737,3074.96,6811.96,181038760
RRR,JP-OV,BF,JP-OV_BF,kronecker,4,1048576,57896558,0.1,1,15120,6.76831,68.4093,75.1776,1910,891.431,2801.43,40901056
RRR,JP-OV,1H,JP-OV_1H,kronecker,1,1048575,4087377,0.001,23,0,0.942544,1.63041,2.57295,108,70.3684,178.368,433064
RRR,JP-OV,1H,JP-OV_1H,kronecker,2,1048575,15699687,0.001,64,0,2.9829,6.66515,9.64804,272,247.558,519.558,7032460
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,4,1048576,57896558,0,0,0,0,655.151,655.151,0,891.431,891.431,45375935
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1048576,645584775,0.001,492,0,89.5424,262.023,351.565,1984,9858.84,11842.8,623776657
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,645584775,0.1,1,49292,55.6488,538.474,594.122,6181,9858.84,16039.8,610062734
RRR,JP-OV,1H,JP-OV_1H,kronecker,32,1048576,1893280332,0.001,698,0,228.63,563.866,792.496,2808,28897.2,31705.2,1869717035
RRR,JP-OV,BF,JP-OV_BF,kronecker,2,1048575,15699687,0.1,1,6463,2.16644,15.8457,18.0121,826.999,247.558,1074.56,7243870
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,8,1048576,200996124,0,0,0,0,2936.79,2936.79,0,3074.96,3074.96,191605215
RRR,JP-OV,1H,JP-OV_1H,kronecker,8,1048576,200996124,0.001,297,0,30.1164,103.787,133.904,1204,3074.96,4278.96,179646518
RRR,JP-OV,1H,JP-OV_1H,kronecker,4,1048576,57896558,0.001,151,0,9.72862,29.9942,39.7228,620,891.431,1511.43,39694665
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,2,1048575,15699687,0,0,0,0,116.873,116.873,0,247.558,247.558,7729712
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,1048576,645584775,0,0,0,0,10200.1,10200.1,0,9858.84,9858.84,639509463
RRR,JP-OV,BF,JP-OV_BF,kronecker,1,1048575,4087377,0.1,1,2334,1.05293,3.86669,4.91962,311,70.3684,381.368,1232689
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,1,1048575,4087377,0,0,0,0,19.8825,19.8825,0,70.3684,70.3684,910348
RRR,JP-OV,BF,JP-OV_BF,kronecker,32,1048576,1893280332,0.1,1,69813,152.091,1116.12,1268.21,8746,28897.2,37643.2,1843129627
