type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,TC,BASE,TC_BASE,kronecker,4,1048576,57896558,0,0,0,0,194.807,194.807,0,891.431,891.431,6769929503
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,2,1048575,15699687,0,0,0,18.5795,17.3748,35.9543,0,247.558,247.558,502201552
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,645584775,0,0,0,0,2973.48,2973.48,0,9858.84,9858.84,768274118932
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,4,1048576,57896558,0,0,0,85.8304,89.3171,175.147,0,891.431,891.431,-562827620
RRR,TC,1H,TC_1H,kronecker,2,1048575,15699687,0.001,64,0,1.04647,4.89506,5.94153,272,247.558,519.558,496165259
RRR,TC,1H,TC_1H,kronecker,8,1048576,200996124,0.001,297,0,3.66464,66.1207,69.7853,1204,3074.96,4278.96,103809987432
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,1048576,645584775,0,0,0,1117.06,1289.05,2406.11,0,9858.84,9858.84,-219088296
RRR,TC,1H,TC_1H,kronecker,1,1048575,4087377,0.001,23,0,0.665774,1.16789,1.83366,108,70.3684,178.368,26795154
RRR,TC,BASE,TC_BASE,kronecker,2,1048575,15699687,0,0,0,0,37.6761,37.6761,0,247.558,247.558,423625371
RRR,TC,1H,TC_1H,kronecker,16,1048576,645584775,0.001,492,0,6.95851,175.527,182.486,1984,9858.84,11842.8,968565276157
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,1,1048575,4087377,0,0,0,3.61192,2.92802,6.53994,0,70.3684,70.3684,23371860
RRR,TC,BF,TC_BF,kronecker,8,1048576,200996124,0.1,1,29736,12.1036,206.433,218.537,3737,3074.96,6811.96,81886305109
RRR,TC,BF,TC_BF,kronecker,8,1048576,200996124,0.1,1,29736,12.1036,206.433,218.537,3737,3074.96,6811.96,81886305109
RRR,TC,BASE,TC_BASE,kronecker,1,1048575,4087377,0,0,0,0,6.20047,6.20047,0,70.3684,70.3684,19783848
RRR,TC,BF,TC_BF,kronecker,4,1048576,57896558,0.1,1,15120,4.70908,67.542,72.251,1910,891.431,2801.43,6996587501
RRR,TC,DOULION,TC_DOULION,kronecker,4,1048576,57896558,0,0,0,44.0041,138.545,182.549,0,891.431,891.431,-753387628
RRR,TC,BASE,TC_BASE,kronecker,32,1048576,1893280332,0,0,0,0,8585.14,8585.14,0,28897.2,28897.2,5660760212545
RRR,TC,BF,TC_BF,kronecker,32,1048576,1893280332,0.1,1,69813,84.1223,1109.47,1193.59,8746,28897.2,37643.2,5700570593726
RRR,TC,1H,TC_1H,kronecker,32,1048576,1893280332,0.001,698,0,7.67666,378.415,386.092,2808,28897.2,31705.2,6780387360584
RRR,TC,DOULION,TC_DOULION,kronecker,1,1048575,4087377,0,0,0,1.87057,4.47329,6.34386,0,70.3684,70.3684,22323172
RRR,TC,DOULION,TC_DOULION,kronecker,1,1048575,4087377,0,0,0,1.87057,4.47329,6.34386,0,70.3684,70.3684,22323172
RRR,TC,BASE,TC_BASE,kronecker,8,1048576,200996124,0,0,0,0,852.514,852.514,0,3074.96,3074.96,82039625197
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,8,1048576,200996124,0,0,0,334.745,367.215,701.96,0,3074.96,3074.96,-1545218636
RRR,TC,DOULION,TC_DOULION,kronecker,16,1048576,645584775,0,0,0,615.631,2033.38,2649.01,0,9858.84,9858.84,1721599524
RRR,TC,1H,TC_1H,kronecker,4,1048576,57896558,0.001,151,0,1.72596,19.7865,21.5125,620,891.431,1511.43,8373293726
RRR,TC,BF,TC_BF,kronecker,1,1048575,4087377,0.1,1,2334,0.888531,3.87777,4.7663,311,70.3684,381.368,33825298
RRR,TC,DOULION,TC_DOULION,kronecker,2,1048575,15699687,0,0,0,9.46597,26.9161,36.382,0,247.558,247.558,477866312
RRR,TC,BF,TC_BF,kronecker,2,1048575,15699687,0.1,1,6463,1.95397,17.4205,19.3744,826.999,247.558,1074.56,509587944
RRR,TC,DOULION,TC_DOULION,kronecker,8,1048576,200996124,0,0,0,175.207,574.492,749.699,0,3074.96,3074.96,139450081
RRR,TC,BF,TC_BF,kronecker,16,1048576,645584775,0.1,1,49292,33.3837,542.594,575.978,6181,9858.84,16039.8,754617688145
