type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,kronecker,1,262144,136157924,0.1,1,15569,10.7855,570.4,581.186,491.5,2079.61,2571.11,132193683
RRR,JP-OV,1H,JP-OV_1H,kronecker,4,262144,136157924,0.001,155,0,15.4956,70.5216,86.0172,159,2079.61,2238.61,127348093
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262144,136157924,0.001,155,0,15.6664,18.7382,34.4046,159,2079.61,2238.61,128622830
RRR,JP-OV,1H,JP-OV_1H,kronecker,1,262144,136157924,0.001,155,0,14.9884,293.817,308.806,159,2079.61,2238.61,128001045
RRR,JP-OV,BF,JP-OV_BF,kronecker,2,262144,136157924,0.1,1,15569,11.1621,299.697,310.859,491.5,2079.61,2571.11,131396507
RRR,JP-OV,BF,JP-OV_BF,kronecker,4,262144,136157924,0.1,1,15569,10.8604,143.339,154.2,491.5,2079.61,2571.11,128535309
RRR,JP-OV,BF,JP-OV_BF,kronecker,32,262144,136157924,0.1,1,15569,11.4553,20.0754,31.5307,491.5,2079.61,2571.11,134143095
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,0.1,1,15569,11.3063,36.7067,48.0131,491.5,2079.61,2571.11,131244432
RRR,JP-OV,1H,JP-OV_1H,kronecker,32,262144,136157924,0.001,155,0,15.6085,9.44155,25.05,159,2079.61,2238.61,127761848
RRR,JP-OV,BF,JP-OV_BF,kronecker,8,262144,136157924,0.1,1,15569,9.18185,71.0315,80.2134,491.5,2079.61,2571.11,128556865
RRR,JP-OV,1H,JP-OV_1H,kronecker,8,262144,136157924,0.001,155,0,12.7117,35.3642,48.0758,159,2079.61,2238.61,133837964
RRR,JP-OV,1H,JP-OV_1H,kronecker,2,262144,136157924,0.001,155,0,15.06,147.658,162.718,159,2079.61,2238.61,130316195
