type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-JC,1H,JP-JC_1H,kronecker,32,1048576,1893280332,0.001,698,0,228.216,1137.88,1366.1,2808,28897.2,31705.2,1007005922
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,1,1048575,4087377,0,0,0,0,17.65,17.65,0,70.3684,70.3684,222
RRR,JP-JC,BF,JP-JC_BF,kronecker,32,1048576,1893280332,0.1,1,69813,162.791,1501.01,1663.8,8746,28897.2,37643.2,840847441
RRR,JP-JC,1H,JP-JC_1H,kronecker,4,1048576,57896558,0.001,151,0,9.94586,58.4294,68.3752,620,891.431,1511.43,6660553
RRR,JP-JC,1H,JP-JC_1H,kronecker,2,1048575,15699687,0.001,64,0,2.9098,13.5141,16.4239,272,247.558,519.558,498987
RRR,JP-JC,BF,JP-JC_BF,kronecker,8,1048576,200996124,0.1,1,29736,20.9477,284.489,305.436,3737,3074.96,6811.96,30361457
RRR,JP-JC,1H,JP-JC_1H,kronecker,16,1048576,645584775,0.001,492,0,89.8883,541.065,630.953,1984,9858.84,11842.8,233262483
RRR,JP-JC,1H,JP-JC_1H,kronecker,8,1048576,200996124,0.001,297,0,30.9808,193.259,224.24,1204,3074.96,4278.96,46921865
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,1048576,645584775,0.1,1,49292,59.7611,732.381,792.142,6181,9858.84,16039.8,213761673
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,4,1048576,57896558,0,0,0,0,707.214,707.214,0,891.431,891.431,834755
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,8,1048576,200996124,0,0,0,0,3064.59,3064.59,0,3074.96,3074.96,35652580
RRR,JP-JC,BF,JP-JC_BF,kronecker,4,1048576,57896558,0.1,1,15120,7.34359,91.1228,98.4664,1910,891.431,2801.43,1469893
RRR,JP-JC,1H,JP-JC_1H,kronecker,1,1048575,4087377,0.001,23,0,0.945692,2.74348,3.68917,108,70.3684,178.368,29887
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,2,1048575,15699687,0,0,0,0,132.067,132.067,0,247.558,247.558,21849
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,16,1048576,645584775,0,0,0,0,10628.2,10628.2,0,9858.84,9858.84,213766065
RRR,JP-JC,BF,JP-JC_BF,kronecker,1,1048575,4087377,0.1,1,2334,1.04783,6.11589,7.16372,311,70.3684,381.368,10978
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,32,1048576,1893280332,0,0,0,0,30286.3,30286.3,0,28897.2,28897.2,834992541
RRR,JP-JC,BF,JP-JC_BF,kronecker,2,1048575,15699687,0.1,1,6463,2.62098,26.103,28.724,826.999,247.558,1074.56,46610
