type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,TC,BF,TC_BF,kronecker,1,1048576,200996124,0.1,1,29736,11.8047,1609.62,1621.43,3737,3074.96,6811.96,83558989078
RRR,TC,1H,TC_1H,kronecker,4,1048576,200996124,0.001,297,0,4.71868,137.453,142.172,1204,3074.96,4278.96,99773170320
RRR,TC,BASE,TC_BASE,kronecker,1,262144,136157924,0,0,0,0,4599.43,4599.43,0,2079.61,2079.61,102947427966
RRR,TC,BF,TC_BF,kronecker,4,262144,136157924,0.1,1,15569,5.80485,147.207,153.012,491.5,2079.61,2571.11,103862249966
RRR,TC,1H,TC_1H,kronecker,32,1048576,200996124,0.001,297,0,7.11888,17.9826,25.1015,1204,3074.96,4278.96,102696411402
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,1,262144,136157924,0,0,0,1639.98,2044.03,3684.02,0,2079.61,2079.61,1739297832
RRR,TC,1H,TC_1H,kronecker,16,1048576,200996124,0.001,297,0,5.97456,34.6513,40.6258,1204,3074.96,4278.96,93659414810
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,2,1048576,200996124,0,0,0,1318.38,1582.37,2900.75,0,3074.96,3074.96,-1579734736
RRR,TC,BASE,TC_BASE,kronecker,4,1048576,200996124,0,0,0,0,1693.11,1693.11,0,3074.96,3074.96,82039625197
RRR,TC,BF,TC_BF,kronecker,2,1048576,200996124,0.1,1,29736,11.9776,871.412,883.39,3737,3074.96,6811.96,90941947552
RRR,TC,BF,TC_BF,kronecker,1,262144,136157924,0.1,1,15569,5.74597,576.621,582.367,491.5,2079.61,2571.11,107222017782
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,8,262144,136157924,0,0,0,220.066,265.767,485.832,0,2079.61,2079.61,1727367768
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,4,262144,136157924,0,0,0,424.434,530.65,955.084,0,2079.61,2079.61,1717370248
RRR,TC,1H,TC_1H,kronecker,8,1048576,200996124,0.001,297,0,3.74758,69.1269,72.8745,1204,3074.96,4278.96,99679573898
RRR,TC,DOULION,TC_DOULION,kronecker,4,1048576,200996124,0,0,0,323.324,1152.39,1475.71,0,3074.96,3074.96,402984989
RRR,TC,BF,TC_BF,kronecker,8,262144,136157924,0.1,1,15569,5.79864,74.1153,79.914,491.5,2079.61,2571.11,101896571362
RRR,TC,BF,TC_BF,kronecker,2,262144,136157924,0.1,1,15569,5.77462,300.285,306.059,491.5,2079.61,2571.11,111629126791
RRR,TC,BF,TC_BF,kronecker,2,262144,136157924,0.1,1,15569,5.77462,300.285,306.059,491.5,2079.61,2571.11,111629126791
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,1,1048576,200996124,0,0,0,2569.78,2870.81,5440.59,0,3074.96,3074.96,-1621552092
RRR,TC,1H,TC_1H,kronecker,1,262144,136157924,0.001,155,0,8.58926,195.94,204.53,159,2079.61,2238.61,119943329147
RRR,TC,BASE,TC_BASE,kronecker,1,1048576,200996124,0,0,0,0,6456.86,6456.86,0,3074.96,3074.96,82039625197
RRR,TC,1H,TC_1H,kronecker,2,1048576,200996124,0.001,297,0,9.2347,275.751,284.985,1204,3074.96,4278.96,108251175968
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.1,1,15569,5.79619,37.9371,43.7333,491.5,2079.61,2571.11,99118887690
RRR,TC,BF,TC_BF,kronecker,8,1048576,200996124,0.1,1,29736,12.0478,214.595,226.643,3737,3074.96,6811.96,85083446103
RRR,TC,BASE,TC_BASE,kronecker,2,1048576,200996124,0,0,0,0,3386.24,3386.24,0,3074.96,3074.96,82039625197
RRR,TC,BASE,TC_BASE,kronecker,4,262144,136157924,0,0,0,0,1192.23,1192.23,0,2079.61,2079.61,102947427966
RRR,TC,BF,TC_BF,kronecker,4,1048576,200996124,0.1,1,29736,12.1305,420.479,432.609,3737,3074.96,6811.96,83185104805
RRR,TC,BASE,TC_BASE,kronecker,8,262144,136157924,0,0,0,0,598.885,598.885,0,2079.61,2079.61,102947427966
RRR,TC,DOULION,TC_DOULION,kronecker,2,1048576,200996124,0,0,0,636.624,2474.35,3110.98,0,3074.96,3074.96,437366968
RRR,TC,BF,TC_BF,kronecker,32,1048576,200996124,0.1,1,29736,12.7552,57.1509,69.9061,3737,3074.96,6811.96,83646043389
RRR,TC,1H,TC_1H,kronecker,32,262144,136157924,0.001,155,0,0.563204,6.49287,7.05607,159,2079.61,2238.61,118553022660
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,32,1048576,200996124,0,0,0,95.7907,102.633,198.423,0,3074.96,3074.96,-1545707788
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,262144,136157924,0,0,0,112.668,134.799,247.467,0,2079.61,2079.61,1750096332
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,2,262144,136157924,0,0,0,840.75,1077.79,1918.54,0,2079.61,2079.61,1692314340
RRR,TC,1H,TC_1H,kronecker,1,1048576,200996124,0.001,297,0,17.89,524.543,542.433,1204,3074.96,4278.96,100385343909
RRR,TC,BASE,TC_BASE,kronecker,2,262144,136157924,0,0,0,0,2383.59,2383.59,0,2079.61,2079.61,102947427966
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,1048576,200996124,0,0,0,175.29,192.278,367.568,0,3074.96,3074.96,-1559581332
RRR,TC,1H,TC_1H,kronecker,4,262144,136157924,0.001,155,0,2.17935,50.7821,52.9614,159,2079.61,2238.61,128874749421
RRR,TC,BASE,TC_BASE,kronecker,16,262144,136157924,0,0,0,0,301.298,301.298,0,2079.61,2079.61,102947427966
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,32,262144,136157924,0,0,0,61.377,70.9362,132.313,0,2079.61,2079.61,1726206928
RRR,TC,BASE,TC_BASE,kronecker,32,262144,136157924,0,0,0,0,158.631,158.631,0,2079.61,2079.61,102947427966
RRR,TC,BF,TC_BF,kronecker,32,262144,136157924,0.1,1,15569,5.85126,19.9556,25.8069,491.5,2079.61,2571.11,105107732442
RRR,TC,DOULION,TC_DOULION,kronecker,1,1048576,200996124,0,0,0,1077.56,4464.48,5542.04,0,3074.96,3074.96,430565142
RRR,TC,DOULION,TC_DOULION,kronecker,16,1048576,200996124,0,0,0,101.329,296.421,397.75,0,3074.96,3074.96,2559740
RRR,TC,BF,TC_BF,kronecker,16,1048576,200996124,0.1,1,29736,12.93,106.704,119.634,3737,3074.96,6811.96,88391712344
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,200996124,0,0,0,0,433.038,433.038,0,3074.96,3074.96,82039625197
RRR,TC,BASE,TC_BASE,kronecker,8,1048576,200996124,0,0,0,0,853.11,853.11,0,3074.96,3074.96,82039625197
RRR,TC,DOULION,TC_DOULION,kronecker,32,1048576,200996124,0,0,0,68.025,162.591,230.616,0,3074.96,3074.96,-53935235
RRR,TC,BASE,TC_BASE,kronecker,32,1048576,200996124,0,0,0,0,229.852,229.852,0,3074.96,3074.96,82039625197
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,8,1048576,200996124,0,0,0,346.063,378.566,724.629,0,3074.96,3074.96,-1572792668
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.001,155,0,0.752237,12.9405,13.6927,159,2079.61,2238.61,110595153325
RRR,TC,1H,TC_1H,kronecker,2,262144,136157924,0.001,155,0,4.31082,101.701,106.012,159,2079.61,2238.61,117392488929
RRR,TC,1H,TC_1H,kronecker,2,262144,136157924,0.001,155,0,4.31082,101.701,106.012,159,2079.61,2238.61,117392488929
RRR,TC,1H,TC_1H,kronecker,8,262144,136157924,0.001,155,0,1.12663,25.6072,26.7338,159,2079.61,2238.61,128778607424
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,4,1048576,200996124,0,0,0,673.994,774.056,1448.05,0,3074.96,3074.96,-1620055708
RRR,TC,DOULION,TC_DOULION,kronecker,8,1048576,200996124,0,0,0,174.952,588.412,763.364,0,3074.96,3074.96,68801387
