type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-CN,BF,JP-CN-BF,kronecker,1,262144,136157924,0.1,1,15569,10.7816,572.073,582.854,491.5,2079.61,2571.11,133038059
RRR,JP-CN,BF,JP-CN-BF,kronecker,8,262144,136157924,0.1,1,15569,10.9794,71.7371,82.7165,491.5,2079.61,2571.11,133853197
RRR,JP-CN,BF,JP-CN-BF,kronecker,4,262144,136157924,0.1,1,15569,9.43491,147.864,157.299,491.5,2079.61,2571.11,132993879
RRR,JP-CN,BF,JP-CN-BF,kronecker,16,262144,136157924,0.1,1,15569,11.583,36.7896,48.3726,491.5,2079.61,2571.11,133698404
RRR,JP-CN,1H,JP-CN_1H,kronecker,8,262144,136157924,0.001,155,0,15.8067,72.1574,87.9641,159,2079.61,2238.61,126607895
RRR,JP-CN,1H,JP-CN_1H,kronecker,16,262144,136157924,0.001,155,0,15.663,37.4098,53.0728,159,2079.61,2238.61,129946116
RRR,JP-CN,1H,JP-CN_1H,kronecker,2,262144,136157924,0.001,155,0,14.926,229.55,244.476,159,2079.61,2238.61,129159373
RRR,JP-CN,BF,JP-CN-BF,kronecker,2,262144,136157924,0.1,1,15569,10.8429,297.422,308.265,491.5,2079.61,2571.11,129742580
RRR,JP-CN,1H,JP-CN_1H,kronecker,1,262144,136157924,0.001,155,0,14.9656,296.333,311.299,159,2079.61,2238.61,129901259
RRR,JP-CN,1H,JP-CN_1H,kronecker,32,262144,136157924,0.001,155,0,15.5916,18.1475,33.7391,159,2079.61,2238.61,129802083
RRR,JP-CN,BF,JP-CN-BF,kronecker,32,262144,136157924,0.1,1,15569,11.5596,20.1573,31.7169,491.5,2079.61,2571.11,133528841
RRR,JP-CN,1H,JP-CN_1H,kronecker,4,262144,136157924,0.001,155,0,15.0243,118.036,133.06,159,2079.61,2238.61,130536361
